Symbol,Stock Name,Record Count,Earliest Date,Latest Date,Date Range (Days),Has Data,Error
COIN,"Coinbase Global, Inc.",88874,2023-10-30 08:00:00,2025-11-07 00:55:00,738.0,Yes,
TSLA,"Tesla, Inc.",9194,2023-10-30 08:00:00,2025-07-03 20:55:00,612.0,Yes,
NVDA,NVIDIA Corporation,10687,2023-10-30 08:00:00,2025-05-16 11:25:00,564.0,Yes,
AVGO,Broadcom Inc.,8132,2023-10-30 08:15:00,2025-02-01 00:55:00,459.0,Yes,
PLTR,Palantir Technologies Inc.,15421,2023-10-30 08:00:00,2025-09-19 22:00:00,690.0,Yes,
LRCX,Lam Research Corporation,5301,2024-07-26 08:55:00,2025-09-12 23:50:00,413.0,Yes,
CRWD,"CrowdStrike Holdings, Inc.",7036,2024-07-19 08:00:00,2025-09-05 23:55:00,413.0,Yes,
HOOD,"Robinhood Markets, Inc.",8657,2024-08-23 08:25:00,2025-10-31 23:55:00,434.0,Yes,
APP,AppLovin Corporation,2855,2024-09-13 08:00:00,2025-10-31 23:55:00,413.0,Yes,
MU,"Micron Technology, Inc.",6401,2023-11-03 08:20:00,2025-01-11 00:55:00,434.0,Yes,
SNPS,"Synopsys, Inc.",4084,2023-12-22 10:15:00,2025-03-07 22:25:00,441.0,Yes,
CDNS,"Cadence Design Systems, Inc.",4278,2024-04-12 13:30:00,2025-07-11 23:10:00,455.0,Yes,
VST,Vistra Corp.,5832,2024-07-26 08:25:00,2025-10-17 23:55:00,448.0,Yes,
DASH,"DoorDash, Inc.",3353,2024-09-13 11:25:00,2025-10-31 23:55:00,413.0,Yes,
DELL,Dell Technologies Inc.,4956,2023-11-03 12:25:00,2025-10-31 23:35:00,728.0,Yes,
NOW,"ServiceNow, Inc.",6004,2023-11-03 12:30:00,2025-03-14 20:10:00,497.0,Yes,
PANW,"Palo Alto Networks, Inc.",6501,2024-02-09 12:10:00,2025-02-22 00:50:00,378.0,Yes,
AXON,"Axon Enterprise, Inc.",8596,2024-01-12 14:30:00,2025-09-12 20:30:00,609.0,Yes,
URI,"United Rentals, Inc.",0,No data,No data,,No,
